gene_symbol,meta_p_value,meta_log2FC,n_datasets,datasets,all_same_direction,n_up,n_down,meta_adj_p_value,-log10_meta_p
ATP2A2,6.80566714095221e-14,-1.1162251669977434,3,GSE55235;GSE12021;GSE55457,True,0,3,9.185521232524252e-10,13.167129295672588
TOP1,1.291189377639057e-13,-1.4692309317915833,3,GSE55235;GSE12021;GSE55457,True,0,3,9.185521232524252e-10,12.889010055462554
COPZ2,1.262767668208653e-12,1.085036911018286,3,GSE55235;GSE12021;GSE55457,True,3,0,5.9888861277575716e-09,11.898676546274855
SAMM50,3.870459508448221e-12,0.5341208696914986,3,GSE55235;GSE12021;GSE55457,True,3,0,1.0404202166469645e-08,11.41223747163825
KDELR3,4.23538981664251e-12,1.032672177528656,3,GSE55235;GSE12021;GSE55457,True,3,0,1.0404202166469645e-08,11.373106611915148
USP46,4.387490371016156e-12,0.884117558286384,3,GSE55235;GSE12021;GSE55457,True,3,0,1.0404202166469645e-08,11.35778382364729
ARPC1A,9.196865491389872e-12,0.7105546128323903,3,GSE55235;GSE12021;GSE55457,True,3,0,1.8693286030213585e-08,11.036360165235754
AFFX-r2-P1-cre-3_at,1.5490830840292347e-11,-0.729303653572423,3,GSE55235;GSE12021;GSE55457,False,1,2,2.4714099736397346e-08,10.809925288523704
PUDP,1.6715517858756357e-11,0.6283460102406063,3,GSE55235;GSE12021;GSE55457,True,3,0,2.4714099736397346e-08,10.776880164107821
TMEM259,1.7912449301604738e-11,-0.7789294592828101,3,GSE55235;GSE12021;GSE55457,False,1,2,2.4714099736397346e-08,10.746845025795686
GLYR1,1.9107049276101407e-11,-0.7646714682585825,3,GSE55235;GSE12021;GSE55457,False,1,2,2.4714099736397346e-08,10.718806376370008
APLP2,2.3381963032420572e-11,-0.43364604301680937,3,GSE55235;GSE12021;GSE55457,False,1,2,2.5548965224923374e-08,10.631119030455624
RBM25,2.5869861808303085e-11,-1.1803137936094965,3,GSE55235;GSE12021;GSE55457,True,0,3,2.5548965224923374e-08,10.587205891192683
GRB10,2.6037172418114096e-11,-0.8332549746196669,3,GSE55235;GSE12021;GSE55457,True,0,3,2.5548965224923374e-08,10.584406181005805
215553_x_at,2.6935231822733385e-11,-0.7211570964230188,3,GSE55235;GSE12021;GSE55457,True,0,3,2.5548965224923374e-08,10.569679282271334
STX16,3.10180769957924e-11,-1.4539072627021878,3,GSE55235;GSE12021;GSE55457,True,0,3,2.758282496850839e-08,10.508385130313632
AFFX-CreX-5_at,5.0032866738547455e-11,-0.9373229539158979,3,GSE55235;GSE12021;GSE55457,True,0,3,4.187456635035607e-08,10.300744612586032
TM6SF1,6.890421566652094e-11,0.9847862310435427,3,GSE55235;GSE12021;GSE55457,True,3,0,5.446495447240333e-08,10.16175420647119
FKSG49,7.485667641304872e-11,-0.7050075530336891,3,GSE55235;GSE12021;GSE55457,True,0,3,5.6055831158150373e-08,10.125769459181468
